likes,comments,shares,hashtags,num_hashtags,tag_#dog,tag_#dogsoftiktok,tag_#fyp,tag_#puppy,tag_#dogs,tag_#foryou,tag_#funny,tag_#pet,tag_#funnydog,tag_#doglover,log_likes,log_comments,log_shares,likes_per_hashtag,comments_to_likes
1900000,17800,417400,"['#dogs', '#dogsoftiktok', '#funnyvideos', '#pets', '#cutedog', '#funny', '#foryou']",7,0,1,0,0,1,1,1,0,0,0,14.45736497045232,9.787009914477434,12.941802669405789,271428.5714285714,0.00936842105263158
493000,1819,121200,"['#dog', '#dogs', '#fyp', '#pet', '#funny', '#funnydog', '#dogtiktok']",7,1,0,1,0,1,0,1,1,1,0,13.108266481420335,7.506591780070841,11.705205603408396,70428.57142857143,0.003689655172413793
3100000,16500,646300,"['#dog', '#funny', '#funnyanimals', '#funnypets', '#animals', '#dogsofttiktok', '#pet', '#foryou', '#longervideos']",9,1,0,0,0,0,1,1,1,0,0,14.946912992035967,9.711176264112805,13.37902061851886,344444.44444444444,0.00532258064516129
3100000,30500,978500,"['#dog', '#dogsoftiktok', '#happy', '#happydog', '#funnyvideos', '#fyp', '#foryou', '#doglover']",8,1,1,1,0,0,1,0,0,0,1,14.946912992035967,10.32551474894327,13.793777087790152,387500.0,0.009838709677419354
4300000,4295,622900,"['#hopecore', '#core', '#dog', '#relatable', '#blowthisup', '#dogsoftiktok']",6,1,1,0,0,0,0,0,0,0,0,15.274125813221904,8.3654396361887,13.342142876635073,716666.6666666666,0.0009988372093023255
5300000,14100,870600,"['#dachshund', '#dachshundsoftiktok', '#dachshundpuppy', '#dachshundaddict', '#dachshunds', '#dachshundlife', '#dachshundlove', '#longhairdachshund', '#dogsoftiktok', '#dog', '#dogs', '#doglover', '#dogmom', '#dogtok', '#doglife', '#wienerdog']",16,1,1,0,0,1,0,0,0,0,1,15.483217567201578,9.55400099583723,13.6769390567328,331250.0,0.002660377358490566
3100000,88600,150300,"['#animal', '#animalrescue', '#dog', '#fyp']",4,1,0,1,0,0,0,0,0,0,0,14.946912992035967,11.391898423211194,11.92039522907888,775000.0,0.028580645161290323
228600,5351,161600,"['#monday', '#mondaymood', '#foryou', '#fyp', '#following', '#dogsoftiktok', '#dalmatiansoftiktok', '#funnyvideos', '#laugh', '#viralvideo', '#newtotiktok', '#newtrend', '#dogsoftiktok', '#dogs', '#doglover', '#doglife', '#dogdad', '#dalmatians', '#dallastexas']",19,0,1,1,0,1,1,0,0,0,1,12.339733404786474,8.585225601808064,11.992885613168797,12031.578947368422,0.023407699037620296
921600,19100,8885,"['#notfriendly', '#dogs', '#offleash', '#reaction', '#americanbulldog', '#dogsoftiktok', '#elsalioncub', '#fyp', '#for']",9,0,1,1,0,1,0,0,0,0,0,13.73386765399262,9.857495968685136,9.092232283495854,102400.0,0.020724826388888888
2600000,7871,350500,"['#foryou', '#dog', '#cute', '#funnyvideo', '#fyp', '#funny']",6,1,0,1,0,0,1,1,0,0,0,14.77102238760702,8.971067438732089,12.767118838519758,433333.3333333333,0.0030273076923076924
741300,1271,104200,"['#rottweiler', '#puppy', '#puppiesoftiktok', '#dogsoftiktok']",4,0,1,0,1,0,0,0,0,0,0,13.51616202962542,7.148345743900068,11.554077005184336,185325.0,0.001714555510589505
567200,6752,367900,"['#baddog', '#dollargeneral', '#goldenretriever', '#fyp']",4,0,0,1,0,0,0,0,0,0,0,13.248469017245045,8.817742129574842,12.815569159219098,141800.0,0.011904090267983074
2000000,5154,210500,"['#dog', '#dogs', '#fouryou', '#funny', '#fnnyvideos', '#funnydog', '#fyp', '#fypシ', '#pet', '#cute', '#doglove', '#dogfunny', '#loveyou', '#funnytiktok', '#cutedog', '#funnymoments', '#doggo']",17,1,0,1,0,1,0,1,1,1,0,14.508658238524095,8.54772239645106,12.257245682687113,117647.05882352941,0.002577
1600000,23400,127800,"['#bearfromtiktok', '#k18results', '#viral', '#trending', '#baddogsoftiktok', '#purringdog', '#petsoftiktok', '#growlking', '#ohnono', '#ohno', '#guarddog']",11,0,0,0,0,0,0,0,0,0,0,14.285514812209815,10.060534035475412,11.758229645621093,145454.54545454544,0.014625
2100000,2800,395300,"['#dogcontent', '#dogsoftiktok', '#doberman', '#funny']",4,0,1,0,0,0,0,1,0,0,0,14.557448378884015,7.937731775260109,12.887402779005837,525000.0,0.0013333333333333333
450400,5352,41300,"['#fy', '#foryoupage', '#funnyanimals', '#talkingdog', '#rxckstxr', '#pets', '#dogs', '#funnypetvideos', '#petsoftiktok']",9,0,0,0,0,1,0,0,0,0,0,13.01789357605382,8.585412430393381,10.628641991731053,50044.444444444445,0.011882770870337478
555900,2533,22800,"['#petsoftiktok', '#labpuppy', '#labradorretriever', '#fyp', '#viral', '#chocolatelab', '#1min', '#longervideos', '#puppylove', '#creatorsearchinsights', '#dogmom', '#spoileddog', '#funnydog', '#dogsoftiktok', '#puppylove', '#funnydogs', '#crazypuppy', '#souldog']",18,0,1,1,0,0,0,0,0,1,0,13.228345499824634,7.837554360881084,10.034559673629849,30883.333333333332,0.004556574923547401
602400,2685,192800,"['#pet', '#dog', '#dogs', '#dogsoftiktok', '#petsoftiktok', '#funnymoments', '#funny', '#animals', '#dogtok', '#funnyvideos', '#funnydogs', '#foryou']",12,1,1,0,0,1,1,1,1,0,0,13.308678615493003,7.895808377083183,12.169413847867123,50200.0,0.0044571713147410355
2800000,16700,221700,"['#dogsoftiktok', '#fyp', '#foryoupage', '#viraltiktok', '#viraldogvideos', '#puptok', '#pettok']",7,0,1,1,0,0,0,0,0,0,0,14.845130332288226,9.723223876851618,12.30908490619414,400000.0,0.0059642857142857145
1100000,4444,142900,"['#yawningdog', '#puppiesoftiktok', '#dogsoftiktok', '#puppydog', '#puppytok', '#cutepuppycheck', '#cutepuppies']",7,0,1,0,0,0,0,0,0,0,0,13.910821646859095,8.399535147948004,11.869907361794104,157142.85714285713,0.00404
648900,2025,38200,"['#semopets', '#southeastmissouri', '#animalshelter', '#adoptme', '#adoptdontshop', '#dogsoftiktok', '#dog', '#fyp', '#foryoupage', '#shelterdog', '#pov']",11,1,1,1,0,0,0,0,0,0,0,13.383035441677574,7.613818684808629,10.5506169722625,58990.90909090909,0.0031206657420249652
8000000,24200,835700,"['#streetportrait', '#dogsofinstagram', '#cutedogs', '#puppy', '#puppylove', '#dogphotography']",6,0,0,0,1,0,0,0,0,0,0,15.894952224644102,10.094149233605084,13.636026172590462,1333333.3333333333,0.003025
3100000,13800,54500,"['#pet', '#fyp', '#xuhuong', '#trending', '#dog', '#dogsoftiktok', '#petsoftiktok']",7,1,1,1,0,0,0,0,1,0,0,14.946912992035967,9.53249633228804,10.905974329106854,442857.14285714284,0.004451612903225806
2800000,8018,1100000,"['#dogsoftiktok', '#fyp']",2,0,1,1,0,0,0,0,0,0,0,14.845130332288226,8.989569004807029,13.910821646859095,1400000.0,0.0028635714285714284
3800000,18500,545400,"['#dog', '#dogsoftiktok', '#dogs', '#dachshund', '#wienerdog', '#minidachshund', '#fyp']",7,1,1,1,0,1,0,0,0,0,0,15.150511887854474,9.825580063659602,13.209276582908629,542857.1428571428,0.004868421052631579
6100000,58600,717500,"['#cute', '#mini', '#dog', '#pet', '#foryou']",5,1,0,0,0,0,1,0,1,0,0,15.623799493077952,10.978507040265917,13.483529620343164,1220000.0,0.00960655737704918
890900,7232,80200,"['#dogsoftiktok', '#dog', '#dogs', '#papillon']",4,1,1,0,0,1,0,0,0,0,0,13.69998858916854,8.886409166849282,11.2922912626048,222725.0,0.008117633853406667
1400000,18200,30000,"['#dog', '#dogs', '#puppy', '#bullybreeds', '#doglover', '#dogmom', '#fyp']",7,1,0,1,1,1,0,0,0,0,1,14.151983508870947,9.809231816610408,10.308985993422082,200000.0,0.013
1200000,2043,201700,"['#dog', '#funny', '#foryou', '#fyp', '#foryoupage', '#dogsoftiktok', '#doglover', '#funnyvideo', '#dogs', '#funnydog', '#tiktokdogs', '#pet', '#puppy', '#usa🇺🇸', '#funnymoments']",15,1,1,1,1,1,1,1,1,1,1,13.997832948091215,7.622663951323595,12.214541681788218,80000.0,0.0017025
